Contig ,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18,Log2FC(+We),DE/NDE(+We),DE/NDE(no We)
Ref_259_comp16299_c0_seq1,2.354,0.856,0.904,0.886,0.534,1.192,0.746,0.968,1.412,2.272,1.15,1.088,1.57,0.285,2.346,1.138,1.755,0.254,NDE,NDE
Ref_259_comp16323_c1_seq1,2.917,2.343,2.497,3.95,3.277,4.437,1.01,1.212,2.298,2.479,5.51,1.987,2.193,4.295,5.206,4.242,3.471,0.281,NDE,NDE
Ref_259_comp17703_c0_seq1,1.444,0.307,1.536,0.146,0.479,0.284,0.909,10.138,4.408,3.729,0.303,1.454,1.566,0.156,1.298,2.336,1.703,-0.478,NDE,NDE
Ref_259_comp17736_c0_seq1,4.404,2.077,3.908,2.62,1.398,2.144,3.683,3.174,1.535,1.223,2.545,3.139,2.014,1.465,1.758,2.336,1.36,-0.603,NDE,NDE
Ref_259_comp17921_c0_seq1,0.426,6.737,3.52,0.08,0.306,0.476,0.425,2.712,0.238,0.199,0.406,0.34,0.429,0.299,0.136,0.199,0.696,-2.186,NDE,NDE
Ref_259_comp18353_c0_seq1,3.96,19.949,4.115,1.596,2.267,0.316,7.288,0.153,0.883,8.618,6.782,3.612,1.823,2.281,1.803,0.176,2.56,-0.397,NDE,NDE
Ref_259_comp1879_c0_seq1,9.825,4.22,44.431,6.498,6.481,32.558,7.017,37.75,8.532,5.083,10.361,12.696,4.25,3.414,6.774,9.483,8.92,-1.274,NDE,NDE
Ref_259_comp19114_c0_seq1,1.12,1.654,2.486,2.429,1.354,0.883,1.369,2.356,0.823,1.885,1.221,1.431,0.85,1.201,1.96,2.382,1.392,-0.148,NDE,NDE
Ref_259_comp19241_c0_seq1,0.348,4.275,3.278,5.492,2.179,9.956,1.076,0.377,1.822,0,2.652,1.165,0.49,0.244,0.111,1.083,0.087,-2.201,NDE,NDE
Ref_259_comp19247_c0_seq1,8.354,4.543,3.203,4.351,4.666,1.675,7.852,6.789,2.365,2.464,3.297,3.351,3.366,1.051,5.279,2.853,1.481,-0.874,NDE,NDE
Ref_259_comp19571_c0_seq1,2.315,1.145,2.339,1.186,1.434,1.156,2.198,3.418,1.976,2.838,2.377,4.285,3.893,2.494,2.709,2.844,2.329,0.488,NDE,NDE
Ref_259_comp19952_c0_seq1,1.284,1.039,2.73,0.617,0.557,1.116,1.796,1.392,0.7,1.242,2.022,1.184,1.15,1.101,0.879,0.823,0.502,-0.231,NDE,NDE
Ref_259_comp20554_c0_seq1,2.993,1.684,1.446,0.136,0.721,1.219,0.66,3.327,0.598,1.508,1.322,2.076,1.788,1.411,1.031,1.126,2.102,0.085,NDE,NDE
Ref_259_comp21194_c0_seq1,4.594,8.661,2.83,2.469,3.16,3.531,2.472,1.219,4.517,3.382,1.737,3.952,3.173,10.915,4.064,2.396,7.733,0.199,NDE,NDE
Ref_259_comp22163_c0_seq1,3.6,17.171,1.836,1.18,3.604,3.002,1.253,0.252,1.891,0.831,0.728,6.118,1.123,12.298,6.54,2.769,10.367,0.46,NDE,NDE
Ref_259_comp22173_c0_seq1,3.703,4.067,2.37,2.177,2.569,2.585,1.572,3.26,3.097,2.303,6.937,3.399,1.865,4.382,3.246,2.668,5.237,0.33,NDE,NDE
Ref_259_comp22274_c0_seq1,2.382,64.048,2.021,0.548,1.306,0.549,1.798,2.295,2.715,1.811,0.361,1.099,1.813,1.299,1.968,1.402,3.261,-2.246,NDE,NDE
Ref_259_comp22312_c0_seq1,0.134,1.619,2.221,1.416,0.994,1.115,0.859,1.456,0.6,0.836,1.318,0.515,0.433,0.942,1.599,1.34,1.081,-0.321,NDE,NDE
Ref_259_comp22594_c0_seq1,1.483,1.116,2.197,1.115,2.133,0.946,0.889,0.502,1.323,0.922,0.606,1.302,0.299,2.469,1.733,0.924,0.652,-0.356,NDE,NDE
Ref_259_comp22832_c0_seq1,1.525,1.157,1.79,0.739,0.808,0.195,1.598,1.212,0.967,0.674,0.886,0.39,0.655,0.856,0.72,0.739,0.648,-0.789,NDE,NDE
Ref_259_comp2312_c0_seq1,0,0.226,93.064,0.169,0,7.894,88.398,0.244,0.201,0,0,0,0,0,0,0,0.226,-10.167,DE,DE
Ref_259_comp23128_c0_seq1,0.328,0.082,0.147,0.062,0.067,0.052,0.066,0.178,0.22,0.102,0.179,0.105,0,0.23,0.209,0.051,0,-0.251,NDE,NDE
Ref_259_comp23129_c0_seq1,0.169,1.018,2.125,0.032,0.104,0.027,0.236,0.366,0.038,0,0.046,0,0,0,0,0,0.127,-4.328,NDE,NDE
Ref_259_comp23589_c0_seq1,0.613,1.924,2.396,0.692,0.819,1.027,2.878,2.076,0.752,0.667,0.585,0.881,0.741,1.827,1.759,1.051,1.85,-0.368,NDE,NDE
Ref_259_comp24072_c0_seq1,0.726,1.569,1.985,0.84,0.367,1.924,1.07,1.694,1.046,1.527,1.034,1.853,1.709,3.131,1.328,1.635,1.46,0.324,NDE,NDE
Ref_259_comp24298_c0_seq1,1.638,1.781,1.732,1.335,1.309,0.784,1.672,1.035,1.055,0.622,1.785,1.975,0.733,1.659,2.242,1.106,0.732,-0.099,NDE,NDE
Ref_259_comp24820_c0_seq1,0.156,0,1.146,0.585,0.064,0.099,0.124,0,0.278,0.097,0.085,0,0.125,0.218,0.132,0.145,0.235,-1.121,NDE,NDE
Ref_259_comp25208_c0_seq1,0.374,1.977,0.948,0.282,0.615,0.201,0.22,0.96,0.597,0.784,0.837,1.66,1.016,0.442,0.335,0.503,1.545,0.224,NDE,NDE
Ref_259_comp25259_c0_seq1,1.236,1.49,1.764,1.037,0.755,1.195,1.778,2.029,0.788,1.274,0.886,1.489,1.025,1.635,0.721,0.969,1.421,-0.31,NDE,NDE
Ref_259_comp25418_c0_seq1,2.785,1.997,1.608,1.048,1.145,0.571,1.033,0.97,1.242,1.237,1.951,1.143,0.962,1.534,1.099,1.054,1,-0.244,NDE,NDE
