,Modules
X6974_762.0357_6.47_neg,20
X6904_471.1928_8.83_neg,23
X7_279.0510_6.81_neg,22
X686_395.1923_6.75_neg,2
X684_523.3487_9.56_neg,21
X68_463.0886_7.09_neg,20
X636_461.1304_3.93_neg,19
X632_292.0828_5.62_neg,18
X594_431.0982_8.67_neg,10
X593_635.0634_4.96_neg,10
X5730_411.1661_9.30_neg,2
X585_215.1337_5.13_neg,17
X562_255.0522_4.49_neg,16
X565_581.2243_8.74_neg,15
X563_309.0685_6.55_neg,14
X553_310.0934_4.44_neg,13
X1079_449.2755_10.14_neg,12
X545_423.1875_6.69_neg,13
X5348_449.2753_10.05_neg,12
X520_445.2412_12.02_neg,4
X487_339.0723_4.58_neg,11
X501_653.1738_7.57_neg,4
X5_431.0983_6.96_neg,10
X349_469.2292_9.27_neg,2
X4866_479.2183_9.28_neg,7
X4595_459.2245_10.37_neg,2
X453_501.2603_12.76_neg,4
X47_431.1924_5.85_neg,9
X4487_447.2301_7.63_neg,8
X4481_409.0963_12.81_neg,5
X451_575.2719_8.86_neg,7
X1832_575.2711_10.38_neg,7
X435_411.2024_8.42_neg,6
X3025_399.1400_11.79_neg,5
X446_475.2198_10.87_neg,4
X434_457.2397_9.28_neg,3
X4317_199.0974_8.96_neg,2
X4340_619.2609_11.95_neg,1
