windowID,windMzMid,windRtMid,15_neg,28_neg,2_neg,41_neg,54_neg
window000002860,395.1924,7.83,259036,294322,265960,236199,278277
window000002862,855.33,7.82,411621,425234,394529,353970,436193
window000002864,741.2619,7.835,884997,804601,882347,715404,891135
window000002866,433.108,7.872,1727591,1746920,1672270,1407700,1682836
window000002867,565.3234,7.826,452713,450388,427118,398957,468902
window000002868,475.2366,7.86,4274223,4332356,4662302,3879747,4285219
window000002873,429.1767,7.896,4751470,4523231,4820735,4188835,4602543
window000002875,521.2604,7.868,2317058,2492270,2850572,2213303,2384102
window000002876,519.2446,7.866,2864892,3114244,3028842,2651420,3036056
window000002881,686.2575,7.868,349271,336987,393016,317478,387795
window000002882,512.2039,7.867,360969,392037,335448,326419,392709
window000002886,489.1041,7.909,28144398,26053386,30208246,24787280,25696864
window000002888,551.1409,7.921,5794374,5630654,5766168,5324788,6019345
window000002891,513.0653,7.903,1894200,2001435,1924957,1758285,1942938
window000002898,315.0506,7.903,557488,499934,472312,436453,501555
window000002904,511.086,7.918,1273768,1193511,1315818,1180176,1261333
window000002905,237.0765,7.913,803965,798774,698407,702685,729494
window000003014,589.2315,8.043,1132193,1223286,1286071,1114022,1159387
window000003015,417.0829,8.035,1767522,1774912,1622546,1681572,1815510
window000003018,385.1325,8.073,3519094,3656680,3656847,3374185,3759170
window000003019,207.0657,8.056,1814452,1989648,1901327,1745793,2009178
window000003020,147.0441,8.053,1169677,1215927,1347696,996484,1208835
window000003021,403.1147,8.044,707638,712802,749188,614430,691098
window000003022,165.0548,8.056,1389255,1265793,1428912,1187013,1269091
window000003025,395.1922,8.047,778445,751884,744966,712951,786189
window000003026,563.2135,8.084,777555,714345,750254,682700,663510
window000003027,187.0969,8.099,6235616,6435847,7799892,6130256,6308546
window000003029,321.1555,8.055,641600,674461,681546,658503,664603
window000003030,533.0939,8.107,25094104,24703078,23784876,22504850,24837890
window000003032,489.0997,8.11,29396688,28175826,29439384,24245148,27061806
window000003033,839.3323,8.091,956577,934844,1002830,909624,817000
window000003036,209.079,8.09,894208,1016931,1046934,993235,959496
window000003037,367.1974,8.08,1553062,1582682,1532806,1473602,1489130
window000003039,633.0182,8.101,938565,811477,964278,763996,775728
window000003040,125.0961,8.087,669554,740552,775062,701309,745345
window000003044,511.0858,8.097,1420520,1564227,1396178,1383640,1296473
window000003045,623.0635,8.093,581292,632766,578420,605960,589372
window000003048,349.1868,8.103,610874,658749,707712,596770,619074
window000003053,475.0897,8.107,928518,783486,956120,796383,850873
window000003068,517.2289,8.181,686379,749994,713415,677420,733245
window000003070,654.3632,8.194,235910,226844,233661,201723,243628
window000003072,677.2843,8.175,486412,556647,606060,422778,505812
