"""Compound_tpj""","""met_class""","""Ontology_msdial""","Matching.Attribute","Matching.Attribute.1","Matching.Attribute.2","Modules_comb","Modules_ind","name","selected","shared name"
"NA","""Unk""","""Unknown""","""X3364_233.1145_9.16_pos""","""X3364_233.1145_9.16_pos""","""X3364_233.1145_9.16_pos""","39","78","""X3364_233.1145_9.16_pos""","false","""X3364_233.1145_9.16_pos"""
"NA","""Unk""","""Formula predicted""","""X3327_181.1226_12.21_pos""","""X3327_181.1226_12.21_pos""","""X3327_181.1226_12.21_pos""","39","78","""X3327_181.1226_12.21_pos""","false","""X3327_181.1226_12.21_pos"""
"NA","""Unk""","""null""","""X3319_591.2059_6.79_pos""","""X3319_591.2059_6.79_pos""","""X3319_591.2059_6.79_pos""","35","73","""X3319_591.2059_6.79_pos""","false","""X3319_591.2059_6.79_pos"""
"NA","""Unk""","""7-O-methylated flavonoids""","""X326_391.1504_6.90_pos""","""X326_391.1504_6.90_pos""","""X326_391.1504_6.90_pos""","10","85","""X326_391.1504_6.90_pos""","false","""X326_391.1504_6.90_pos"""
"NA","""Unk""","""Flavonoid C-glycosides""","""X2_433.1132_6.96_pos""","""X2_433.1132_6.96_pos""","""X2_433.1132_6.96_pos""","10","85","""X2_433.1132_6.96_pos""","false","""X2_433.1132_6.96_pos"""
"NA","""Unk""","""Stigmastanes and derivatives""","""X3245_453.3437_6.72_pos""","""X3245_453.3437_6.72_pos""","""X3245_453.3437_6.72_pos""","10","85","""X3245_453.3437_6.72_pos""","false","""X3245_453.3437_6.72_pos"""
"NA","""Unk""","""Daphnetin and derivatives""","""X319_179.0261_3.07_pos""","""X319_179.0261_3.07_pos""","""X319_179.0261_3.07_pos""","27","97","""X319_179.0261_3.07_pos""","false","""X319_179.0261_3.07_pos"""
"NA","""Unk""","""Diphenylmethanes""","""X3115_408.2227_9.29_pos""","""X3115_408.2227_9.29_pos""","""X3115_408.2227_9.29_pos""","48","75","""X3115_408.2227_9.29_pos""","false","""X3115_408.2227_9.29_pos"""
"NA","""Unk""","""6-prenylated isoflavanones""","""X3107_427.1594_7.00_pos""","""X3107_427.1594_7.00_pos""","""X3107_427.1594_7.00_pos""","35","73","""X3107_427.1594_7.00_pos""","false","""X3107_427.1594_7.00_pos"""
"NA","""Unk""","""Isoflavones""","""X3073_384.1289_7.69_pos""","""X3073_384.1289_7.69_pos""","""X3073_384.1289_7.69_pos""","35","73","""X3073_384.1289_7.69_pos""","false","""X3073_384.1289_7.69_pos"""
"NA","""Unk""","""Depsipeptides""","""X304_525.2884_6.80_pos""","""X304_525.2884_6.80_pos""","""X304_525.2884_6.80_pos""","56","87","""X304_525.2884_6.80_pos""","false","""X304_525.2884_6.80_pos"""
"NA","""Unk""","""Phenolic glycosides""","""X3016_299.1101_10.68_pos""","""X3016_299.1101_10.68_pos""","""X3016_299.1101_10.68_pos""","39","78","""X3016_299.1101_10.68_pos""","false","""X3016_299.1101_10.68_pos"""
"NA","""Unk""","""Fatty acyl glycosides of mono- and disaccharides""","""X29709_346.1423_5.39_pos""","""X29709_346.1423_5.39_pos""","""X29709_346.1423_5.39_pos""","13","73","""X29709_346.1423_5.39_pos""","false","""X29709_346.1423_5.39_pos"""
"NA","""Unk""","""null""","""X16293_534.2895_9.58_pos""","""X16293_534.2895_9.58_pos""","""X16293_534.2895_9.58_pos""","68","126","""X16293_534.2895_9.58_pos""","false","""X16293_534.2895_9.58_pos"""
"NA","""Unk""","""Sesquiterpenoids""","""X2945_219.1744_9.28_pos""","""X2945_219.1744_9.28_pos""","""X2945_219.1744_9.28_pos""","3","125","""X2945_219.1744_9.28_pos""","false","""X2945_219.1744_9.28_pos"""
"NA","""Unk""","""null""","""X2909_523.3472_9.90_pos""","""X2909_523.3472_9.90_pos""","""X2909_523.3472_9.90_pos""","57","93","""X2909_523.3472_9.90_pos""","false","""X2909_523.3472_9.90_pos"""
"NA","""Unk""","NA","""X2163_522.2913_9.90_pos""","""X2163_522.2913_9.90_pos""","""X2163_522.2913_9.90_pos""","3","90","""X2163_522.2913_9.90_pos""","false","""X2163_522.2913_9.90_pos"""
"NA","""Unk""","NA","""X2889_423.2347_10.38_pos""","""X2889_423.2347_10.38_pos""","""X2889_423.2347_10.38_pos""","4","84","""X2889_423.2347_10.38_pos""","false","""X2889_423.2347_10.38_pos"""
"NA","""Unk""","""Eburnan-type alkaloids""","""X2857_373.1796_6.29_pos""","""X2857_373.1796_6.29_pos""","""X2857_373.1796_6.29_pos""","35","73","""X2857_373.1796_6.29_pos""","false","""X2857_373.1796_6.29_pos"""
"NA","""Unk""","""Jasmonic acids""","""X2773_211.1353_10.18_pos""","""X2773_211.1353_10.18_pos""","""X2773_211.1353_10.18_pos""","39","78","""X2773_211.1353_10.18_pos""","false","""X2773_211.1353_10.18_pos"""
